filename;np;np(induced);np(complete)
EUcore_Layer_8_sfdp_drawing_1_final;0.547;0.973;0.157
EUcore_Layer_8_sfdp_drawing_2_final;0.549;0.932;0.366
EUcore_Layer_8_sfdp_drawing_3_final;0.54;0.906;0.431
EUcore_Layer_8_sfdp_drawing_4_final;0.526;0.854;0.54
EUcore_Layer_8_sfdp_drawing_5_final;0.484;0.612;0.586
EUcore_Layer_8_sfdp_drawing_6_final;0.46;0.528;0.521
EUcore_Layer_8_sfdp_drawing_7_final;0.402;0.404;0.403
EUcore_Layer_8_sfdp_drawing_8_final;0.39;0.367;0.367
