filename;stress;stress(induced);stress(complete)
EUcore_Layer_8_drawing_improved_1_final;1438.097;2098.156;2091.237
EUcore_Layer_8_drawing_improved_2_final;6387.498;10380.136;10370.124
EUcore_Layer_8_drawing_improved_3_final;8816.436;14529.021;14514.726
EUcore_Layer_8_drawing_improved_4_final;14241.81;23445.263;23421.002
EUcore_Layer_8_drawing_improved_5_final;39571.007;65461.822;65454.809
EUcore_Layer_8_drawing_improved_6_final;51330.63;83735.489;83731.099
EUcore_Layer_8_drawing_improved_7_final;73278.393;119699.003;119699.003
EUcore_Layer_8_drawing_improved_8_final;82241.048;135128.37;135128.37
