filename;CR;AR;UE;ST;NP;lblbb;lblarea;BB;area;lblo;
lastfmw_1;0;inf;0.559;1851.882;0.6054963339187962;4.17E+07;155.5316358024691;(93266.01, 69620.73000000001);6493247700.3873005;0;
lastfmw_2;0;inf;0.634;18249.301;0.48395287793859626;1.97E+07;342.3819444444444;(96637.5, 69620.73000000001);6727973295.375001;0;
lastfmw_3;0;inf;0.699;56927.627;0.4540431516059046;1.54E+07;540.2201003086426;(97652.09, 85209.9);8320924823.690999;0;
lastfmw_4;0;inf;0.741;102087.547;0.427853616942694;1.39E+07;613.3063271604948;(99043.22, 85810.81);8498978933.2081995;0;
lastfmw_5;0;inf;0.798;230149.327;0.3997369460515152;1.22E+07;706.2210648148167;(99490.03, 86749.6);8630720306.488;0;
lastfmw_6;0;inf;0.824;308688.696;0.3836200939052101;1.18E+07;740.3011188271629;(99836.79999999999, 87552.73999999999);8740985392.831999;0;
lastfmw_7;0;inf;0.855;445022.946;0.3689431615715858;1.12E+07;784.7706404321008;(100060.06, 88165.95999999999);8821891247.557598;0;
lastfmw_8;0;inf;0.882;618463.628;0.36398943489705765;1.08E+07;819.6182484567912;(100060.06, 88165.95999999999);8821891247.557598;0;
