filename;crossings;stress;neighbors_preservation
EUcore_Layer_8_drawing_improved_1_final;0;1438.097;0.488
EUcore_Layer_8_drawing_improved_2_final;0;6387.498;0.517
EUcore_Layer_8_drawing_improved_3_final;0;8816.436;0.524
EUcore_Layer_8_drawing_improved_4_final;0;14241.81;0.52
EUcore_Layer_8_drawing_improved_5_final;0;39571.007;0.515
EUcore_Layer_8_drawing_improved_6_final;0;51330.63;0.497
EUcore_Layer_8_drawing_improved_7_final;0;73278.393;0.451
EUcore_Layer_8_drawing_improved_8_final;0;82241.048;0.442
